,ID_INTERVISTATO,SOLL_MOT
6167,6332_9_3b005f24f8d117fdf952852721d43937,Chiusura della segnalazione senza risoluzione
6174,6332_9_3b11637896cf2cd0d78338742900b293,Perché il guasto si è prolungato ed ora è ripetuto
6175,6332_9_3b1451291361ab434a23d0011b8feab8,Non si presentava mai nessuno
6181,6332_9_5bd42cfb28e90d9455ebf72cde32c839,"Non mi hanno risolto il problema, la fibra va a 5/9 mbps invece che 30mbps"
6185,6332_9_5bf0e8c2b030e208e7ed8bcb7c1e9753,Non avevo segnale ne linea
6189,6332_9_997f6e93c016884f90d6976ee1becb38,Sono più di tre giorni che internet non va va solo a tratti.cosi non va bene non è possibile
6191,6332_9_99816aa2d02586715d240f2e4970977b,Il problema sussisteva nonostante i solleciti precedenti
6195,6496_9_6a041f04d6fbb79f515bfad2f3a02354,Wi-file di casa non  prende se telefono distante più di tte metri dal modem. Prima funzionava bene anche in giardino. ( a 15 metri ). Attendo notizie certe o ritorniamo al collegamento precedente. Attendo. Notizie Grazie
6196,6496_9_6a194a011d0cf85b95c481f16229def3,Continuava a mancare la connessione. Ripetute telefonate al 187 e spesso operatori incompetenti. Dopo ulteriori solleciti sono stato contattato dal servizio tecnico ed infine un tecnico su appuntamento ha sistemato la linea ma riscontrando anche danni al modem ho dovuto provvedere a recarmi presso il negozio fisico tim e sostituirlo.
7734,6333_9_00294830639cb5f54245d431969161c9,Perche il problema sussiste tuttora
7735,6333_9_003863cd69699db098c2e65f6a14c875,Essendo uno studio medico non posso stare più di tanti giorni senza linea.. ogni 15 massimo 20 giorni stiamo a punto è a capo.. non capisco perché si interrompe la linea sia voce che adsl .
7737,6333_9_003f660e1d2a6656d270dd1f7ff69708,Diverse linee telefoniche e diversi guasti
7740,6333_9_00626f143a5b0ec991b20fd9454f9b5a,Risposte degli operatori vaghe tranne ultima
7742,6333_9_006e2027699f76589999b17b7f3438a9,Perché dicono che era un problema di allineamento
7743,6333_9_0077e938cb0ec7dea5b0b3b528d9fea6,Sostituazione del modem che per altro non mi è MAI stato cambiato
7744,6333_9_008b2eb5d0850c3e50125e304d78b597,"Perché era arrivato un primo sms che segnalava la linea come attiva. Oggi, a distanza di una settimana il guasto non è stato risolto"
7745,6333_9_00910594ac461cd9ca15eda0fa8fb7b1,Il guasto persiste
7746,6333_9_00a5197d0b43fa389dff6334c237ec37,Servizio scadente connessione che crea sempre problemi. Cambieró gestore
7747,6333_9_00acfc62dfe091bc9fb09117c0400d19,Perché nessuno ci dava aggiornamento circa lo stato della segnalazione
7748,6333_9_00b1f8c9e649a9f8a7b26e50705dc40c,"Ho chiamato tre volte per risolvere il guasto del mio modem, mi è stato detto tutte e le tre volte che mi avrebbero richiamato per sistemare ma non ho più sentito nessuno. Sicuramente cambierò operartore"
7749,6333_9_00c01bcb68585101fd6184d9a72eb399,La prima volta che è venuto il tecnico mi ha riparato la linea voce ma dopo non funzionava più la linea fax
7750,6333_9_00c329cea6c93fd59b43db90db5ee597,Perché nessuno comucava
7752,6333_9_00c9f0e0afb267253644d12738bcd587,Il problema della linea fax non è mai stato risolto. Il problema della linea fissa continua a ripresentarsi 2 volte a settimana
7755,6333_9_00e57896f28cf6133556889a2bbeb24b,Trattasi ufficio senza telefono
7757,6333_9_011740b7282f4e9623f7956844ba004d,Non si risolveva la situazione è ho avuto perdite nel mio lavoro perché i clienti pensavano fossi chiusa.
7760,6333_9_0125b81d24bdd0488a5eeb0234f6ae02,Perché l'operatore dopo aver preso tutti i dati non era presente la segnalazione
7763,6333_9_01843d57440fce3b68e9838672e20076,Nessuno sa dire in che modo e tempo si può risolvere il problema. Mi è stata proposta una soluzione tampone ma alla fine nessuno è in grado di metterla in atto.
7764,6333_9_018ed166de6a48691a5b21acd5097084,Nessuno s’interessa per Riparare il guasto e’ da ottobre 2017 che sussiste il problema
7765,6333_9_01939cd77918649f6fbca74f596bf685,Per il mancato intervento
7766,6333_9_0195f67e5cf21438cedcec4ae37690ef,Per il prolungarsi dei tempi dichiarati Cioè entro il giorno successivo
7767,6333_9_01a62dfbf139324c8e5a90cd9b5fc733,Perché non si capiva più lo stato della pratica
7769,6333_9_021a20e1803481604f197bf4a86ddc23,Dovevano sostituire modem lunedi
7770,6333_9_021c9f1707c837b55f13b23d58b732a5,Non e stato assolutamente risolto il guasto che e sia per la linea telefonica che adsl. Sto continuando ad avere un danno enorme per la mia attivita
7771,6333_9_021e45122061c4ab8fb9e1722730d56e,Problem a ancora non risolto
7773,6333_9_02584b5a11b55bd1f04d8e4bfbf8ed19,Non funziona internet
7775,6333_9_02b34c6a981b967cf54db68d147bcff0,Non sapevo più nulla
7780,6333_9_0329dff7da5d647c386218123cc5e778,perchè nessuno si è preoccupato di verificare se il guasto era stato risolto /  in realtà permaneva
7787,6333_9_036373f922e7021f8d77ec11a31e37f8,Per sapere le tempistiche
7790,6333_9_03ae42444a60d262b529fa2f7556928a,Dopo  cinque giorni non avevo ancora la linea ed era vitale averla.
