,ID_INTERVISTATO,OVS.7_10_E_SMS
0,6285_9_000263704728020d84b32a1541409a32,Perche il guasto e stato ripristinato in breve tempo
1,6285_9_0007c2e6e4d81ac8a4750d2016e422aa,Complessivamente sono stati veloci nella soluzione del problema che era di zona
3,6285_9_001e5f61be3f4609b5bb762fa28789d2,"Disponibilità, pazienza e chiarezza dell'operatore"
5,6285_9_0044d029f1a1b7de4ed69dbf1a823d1a,"Per la velocità, la cortesia e la competenza."
6,6285_9_005da79fdcd00bcfced284c7fedecd23,Sono stati abbastanza veloci nel contattarmi ma il problema non è stato individuato dovrò procedere per tentativi
7,6285_9_0060b90798329b494a91b3046f1b90f8,Non mi funziona la libea fisa
8,6285_9_008f75cd7514d19c93c1d4422abcf67d,Tim resta un ottima compagnia
9,6285_9_0091ba51047b36c0498ccad8fd6e08a2,Per competenza e velocità
10,6285_9_009b1a1f19d0088c2d073c6c39cd4f4a,Perché la prima volta ha risposto senza rispondermi !
11,6285_9_00a3a85aaeaec2140b455a24feff4b79,Perché la ragazza che mi ha risposto telefonicamente è stata gentilissima
12,6285_9_00a43315259e6aeca5b995c4f53fa317,Servizio celere ed efficiente
13,6285_9_00ca6983d9128ca5b820b8f3cf1232f8,Perché mi va così
15,6285_9_00f445bf6df273bfb03a8fbca980f957,Perché mi ritengo soddisfatta!
19,6285_9_011cc7c1dcca75d7ff266c17a2503d58,Perche l'operatore è stato gentile ed solutivo
20,6285_9_011fab4c98c8f5e4307c561dd62d106e,"Per cortesia, capacità, velocità"
21,6285_9_0126f4a1e8f0b8930c1aa4e3b43481b1,Call center GENTILISSIMO e altrettanto il tecnico!!
22,6285_9_012d37256efc8a2eb90e962c3df5a1d1,"Perché il servizio fibra , che dovrebbe garantire fino a 100 mb in download, in realtà va al massimo a 26 mb in download ."
23,6285_9_01391c355bd490bd51f8efe00b52d54e,Individuazione immediata del guasto e relativa risoluzione.
26,6285_9_0151a2d35003831088d36ee985bc4698,Tutto sommato sono stato soddisfatto
28,6285_9_01651c8381bde7592f7467348d8bf442,Perché è il voto giusto per il comportamento del gestore in se
30,6285_9_017d874043304cfb8ac20dabb04a320e,Per far migliorare il servizio  delle operatori  che a volte uno ti dice una cosa l'altro te ne dice un'altra sempre riguardante la medesima richiesta .....
32,6285_9_018bf2ad982e4f34875cb3850c5c76c5,Tutto perfetto.
34,6285_9_0193a3ba521794a7f6f22977c5e2ad25,Buon servizio ma migliorabile
35,6285_9_01ad611fc8c2d5aaf50ccde5b7fd21fb,Perché il primo operatore chiamato di venerdì non ha segnalato il problema lasciandomi tutto il Week end senza internet.il devo do operatore chiamato di sabato ha preso un carico il problema!
36,6285_9_01b353156f7c1d5db6b1373bdc3d11f8,Perché son soddisfatto
37,6285_9_01b45734e8b4db4494260c3a3ce95cac,Assistenza buonissima ma hanno dovuto intervenire più volte per trovare una soluzione. Bravissimo il tecnico che è intervenuto in vari modi per risolvere.
39,6285_9_01c6f31184a44ae0be63d065c8cd9e6c,Velocità di risoluzione
40,6285_9_01ccb5e4bf3bbca79c327cd3e8c0ab85,Abbastanza bene
43,6285_9_01ef68537343bffc5862df77e5c579c5,Perché  sono abbastanza  soddisfatte
45,6285_9_021279e8b9e192a551700296e3495260,"Assistenza veloce, purtroppo la disposizione delle centrali non consente maggiore velocità di connessione pur avendo la fibra"
47,6285_9_0223438ed63a191183d6e3a48fad32bc,Ha risolto il mio problema immediatamente. Ok
48,6285_9_022d06d7355d8df18d1a536797a2290d,Prima segnalazione nulla: ho dovuto ritelefonare perché la pratica non era stata avviata. Primo intervento del tecnico approssimativo e non risolutivo. Ha necessitato di un secondo intervento.
49,6285_9_024b7d9ca492243e4aa44ddbc673f906,Non ho da il massimo perché altre volte non ho riscontrato la stessa efficienza
51,6285_9_027f65bc1a79c550642687df9df1d8a5,Perché soltanto dopo la terza volta è stato risolto
52,6285_9_0291cacd91bce59c5e2b4431b8f81b09,L'ho dato per la tempestiva velocità d'intervento. Purtroppo non hanno risolto il mio problema.
53,6285_9_02980c641143da1dc713363861c7e00c,Perché sono rimasta soddisfatta
54,6285_9_029817c7d659a83bb3b58c4b52e0c8a6,Perché sono soddisfatto
55,6285_9_02a61654b8b6a60cd9cf8193fac22c3b,Perché sono stato rimbalzato da assistenza tecnica e commerciale tante volte e solo quando sono riuscito a parlare con qualcuno piu competente o con un livello + alto mi ha risolto il problema.
59,6285_9_02da1c22afa0d2c69c87ea8a1c851d7e,Perché mi sono trovato molto bene considerate che una ditta che ha rifatto l'asfalto ha tranciato il filo del mio telefono è venuta una azienda di tecnici che hanno ripristinato il tutto.
62,6285_9_02f2839695fd9110c1f4c3502def7798,Soluzione soddisfacente
63,6285_9_03008ed097609cab0ad986b3e48641ab,Devo effettuare uno Speed test collegando il mio computer al modem per capire se realmente abbiamo risolto il problema
66,6285_9_0330683c1a841571a6f5be9d152035ee,Sono stati tutti efficienti
67,6285_9_033f22b2c0189381baeb42e24dc900de,Tutto si è risolto facilmente e velocemente
68,6285_9_034027474272a1d829ee50b8fce4fb58,tempistiche rispettate
69,6285_9_034441b6aaf772cbe1882bd8af484594,"Pet l efficienza, celerità e disponibilita"
70,6285_9_034adbdef0da8c98eb2a1c319436e65b,Mi sono trovata bene
72,6285_9_036a1e7e6ed17b86afef0f0b506fbf31,Servizio disponibile
73,6285_9_0394a6c659a72b52af2add7df9e662be,Perché sostanzialmente soddisfatto
74,6285_9_039863556523b74eea2ffaf512895475,"Risoluzione Buona, operatore automatico non sempre semplice"
75,6285_9_03ac37b4dfe5a1bd904d8966179885c6,X la non risoluzione del problema
76,6285_9_03b2863bf189e17d77ea1b57279b7f9d,"Il tecnico mi ha informato che il problema era parzialmente risolto e che poteva ripresentarsi, infatti si è ripresentato"
77,6285_9_03b569823b2c7e6cd03e9fbdd78d173b,Sono il top della telefonia e adsl
78,6285_9_03ba580aaabb82f1a49c00e0be9ab25b,Competenza e cortesia
86,6285_9_03e8a3e83edae47dfd40d7b7e253d3ef,L'operatore è stato molto gentile e chiaro. Mi ha dato un link dove scaricare un app per speedtest da utilizzare per inviare resoconto dei dati di down e up a tim tramite fax per verifica problema
88,6285_9_03f0c294b9cba8b9f6ec666a5f997641,Problema di disconnessione del router
89,6285_9_03f8f5925910da8901d9d36e654b30e4,L'assistenza tecnica è stata efficace ed efficiente. Sono rimasto monto soddisfatto.
90,6285_9_0404ced7307a78541afcc42d47bb6d1f,Per avere trovato il motivo dell'interruzione del collegamento che si verificava saltuariamente con intervento nel mio domicilio
91,6285_9_0422fe8e12b061acee276cb77b0b7cc3,Ok
93,6285_9_043db0fa15945e9064333319bbc17a30,Validità del servizio.
94,6285_9_043e5e3d91be5bcb3d4ec1a6b862ac6e,Per la disponibilità e la competenza dell'operatore.
97,6285_9_04573015f655dcdba1969eaa4faa77da,Efficienza e preparazione dell'operatore telefonico e bravura del tecnico c'è ha risolto il problema presentandosi a casa
98,6285_9_0477c589bf518b61b1845f19cde4c948,Risolto problema in modo veloce
99,6285_9_047ebb21bbaa119eae961740ca5becfb,"tempistiche di risoluzione del problema molto buone, ottima la possibilità di segnalare il guasto on line e di ricevere aggiornamenti in tempo reale sullo stato della richiesta"
101,6285_9_048ffa08908a83eb82d1cfc06610c821,Sono stata soddisfatta
104,6285_9_04a47ef6ef32adf68afac2f6f8c5f397,Perché l'operatore con cui ho parlato è stato celere nel capire la mia problematica....sostituendo immediatamente il modem con quello guasti.
105,6285_9_04c38ce2d0d2e95f61d1858d28271a53,Perché mi ritengo pienamente soddisfatto dell'assistenza ricevuta
